 , , Insercion , , , Seleccion , , , Burbuja , , , QuickSort 
Largo , Desorden , Ascendente , Descendente, Desorden , Ascendente , Descendente, Desorden , Ascendente , Descendente, Desorden , Ascendente , Descendente 
500 , 0 , 0 , 15 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
1000 , 0 , 0 , 16 , 2 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 0 
1500 , 3 , 0 , 16 , 3 , 0 , 0 , 10 , 15 , 0 , 0 , 0 , 16 
2000 , 7 , 0 , 0 , 7 , 0 , 16 , 14 , 16 , 16 , 0 , 0 , 0 
2500 , 10 , 0 , 32 , 13 , 15 , 15 , 31 , 16 , 16 , 0 , 0 , 0 
3000 , 32 , 0 , 78 , 32 , 16 , 16 , 67 , 47 , 63 , 0 , 0 , 46 
3500 , 21 , 0 , 47 , 22 , 31 , 15 , 46 , 16 , 47 , 0 , 16 , 16 
4000 , 25 , 0 , 63 , 29 , 31 , 31 , 60 , 32 , 47 , 0 , 0 , 0 
4500 , 32 , 0 , 63 , 38 , 47 , 31 , 75 , 31 , 78 , 0 , 16 , 0 
5000 , 39 , 0 , 78 , 46 , 47 , 47 , 91 , 47 , 78 , 0 , 16 , 0 
5500 , 47 , 0 , 94 , 54 , 47 , 47 , 112 , 63 , 94 , 1 , 15 , 15 
6000 , 60 , 0 , 125 , 65 , 63 , 63 , 135 , 62 , 109 , 0 , 16 , 16 
6500 , 68 , 0 , 125 , 78 , 78 , 78 , 153 , 78 , 140 , 0 , 16 , 16 
7000 , 79 , 0 , 156 , 90 , 94 , 94 , 179 , 94 , 156 , 0 , 15 , 0 
7500 , 92 , 0 , 172 , 100 , 109 , 109 , 206 , 94 , 172 , 3 , 31 , 16 
8000 , 106 , 0 , 203 , 118 , 109 , 125 , 234 , 125 , 203 , 0 , 16 , 16 
8500 , 114 , 0 , 234 , 135 , 141 , 125 , 263 , 141 , 234 , 3 , 15 , 16 
9000 , 134 , 0 , 266 , 146 , 141 , 156 , 296 , 156 , 250 , 0 , 31 , 16 
9500 , 144 , 0 , 297 , 167 , 156 , 156 , 330 , 172 , 281 , 0 , 32 , 31 
10000 , 163 , 0 , 328 , 184 , 172 , 188 , 364 , 188 , 312 , 0 , 46 , 16 
10500 , 182 , 0 , 360 , 201 , 203 , 203 , 403 , 203 , 343 , 0 , 31 , 16 
11000 , 199 , 0 , 407 , 222 , 218 , 218 , 442 , 219 , 375 , 1 , 47 , 16 
11500 , 217 , 0 , 438 , 241 , 250 , 234 , 483 , 234 , 407 , 2 , 47 , 31 
12000 , 236 , 0 , 468 , 263 , 266 , 266 , 524 , 266 , 438 , 3 , 47 , 31 
12500 , 254 , 0 , 516 , 286 , 281 , 296 , 570 , 282 , 485 , 2 , 47 , 31 
13000 , 276 , 0 , 547 , 309 , 312 , 313 , 617 , 297 , 531 , 3 , 63 , 31 
13500 , 296 , 0 , 594 , 333 , 328 , 328 , 666 , 344 , 578 , 1 , 47 , 32 
14000 , 321 , 0 , 640 , 358 , 359 , 360 , 718 , 359 , 609 , 0 , 47 , 31 
14500 , 345 , 0 , 687 , 383 , 391 , 391 , 770 , 391 , 640 , 3 , 62 , 47 
15000 , 370 , 0 , 735 , 409 , 407 , 422 , 825 , 421 , 687 , 0 , 63 , 47 
15500 , 393 , 0 , 781 , 439 , 438 , 438 , 877 , 437 , 750 , 2 , 63 , 31 
16000 , 414 , 0 , 844 , 469 , 453 , 469 , 937 , 485 , 797 , 5 , 62 , 31 
16500 , 442 , 0 , 890 , 496 , 485 , 500 , 998 , 500 , 844 , 3 , 78 , 31 
17000 , 478 , 0 , 938 , 524 , 531 , 531 , 1057 , 532 , 891 , 3 , 78 , 47 
17500 , 500 , 15 , 1000 , 562 , 547 , 563 , 1123 , 563 , 953 , 2 , 78 , 47 
18000 , 532 , 0 , 1063 , 590 , 594 , 593 , 1191 , 593 , 1016 , 0 , 78 , 47 
18500 , 560 , 0 , 1125 , 626 , 625 , 609 , 1260 , 625 , 1062 , 1 , 78 , 47 
19000 , 590 , 0 , 1188 , 662 , 656 , 656 , 1331 , 672 , 1141 , 2 , 78 , 47 
19500 , 624 , 0 , 1250 , 696 , 703 , 703 , 1411 , 703 , 1203 , 0 , 78 , 47 
20000 , 668 , 0 , 1328 , 734 , 734 , 735 , 1490 , 735 , 1265 , 3 , 94 , 63 
